,raw,normalized_per_cell,filter_dispersion,log1p,scale_to_10
237,,,,Pgam1,Gabarapl2
238,,,,Pkm2,Gapdh
239,,,,Pnrc1,Gas5
240,,,,Polr1d,Gdi2
241,,,,Pomp,Ghitm
242,,,,Ppia,Gltp
243,,,,Ppib,Gltscr2
244,,,,Ppp1ca,Glud1
245,,,,Ppp2ca,Glul
246,,,,Prdx1,Gm1821
247,,,,Prdx2,Gm2a
248,,,,Prelid1,Gnai2
249,,,,Prkar1a,Gnas
250,,,,Prrc2c,Gnb1
251,,,,Psap,Gnb2l1
252,,,,Psenen,Gng5
253,,,,Psma2,Gpi1
254,,,,Psma3,Gpx1
255,,,,Psma6,Gpx4
256,,,,Psma7,Grb2
257,,,,Psmb1,Grcc10
258,,,,Psmb2,Grn
259,,,,Psmb3,Gsk3b
260,,,,Psmb4,Gstm1
261,,,,Psmb5,Gstp1
262,,,,Psmb6,H13
263,,,,Psme2,H2-D1
264,,,,Ptges3,H2-K1
265,,,,Ptma,H2-T23
266,,,,Ptp4a2,H2afj
267,,,,Rab1,H2afv
268,,,,Rab11b,H2afy
269,,,,Rab14,H2afz
270,,,,Rab2a,H3f3a
271,,,,Rab7,H3f3b
272,,,,Rabac1,Hdgf
273,,,,Rac1,Herpud1
274,,,,Raly,Hexa
275,,,,Ran,Higd2a
276,,,,Rap1b,Hint1
277,,,,Rbm3,Hmgb1
278,,,,Rbm39,Hmgn1
279,,,,Rbx1,Hmgn2
280,,,,Reep5,Hn1
281,,,,Rer1,Hnrnpa2b1
282,,,,Rhoa,Hnrnpab
283,,,,Rn45s,Hnrnpc
284,,,,Rnasek,Hnrnpf
285,,,,Rnaset2b,Hnrnpk
286,,,,Romo1,Hnrnpm
287,,,,Rpl10,Hnrnpu
288,,,,Rpl10a,Hprt
289,,,,Rpl11,Hsbp1
290,,,,Rpl12,Hsp90aa1
291,,,,Rpl13,Hsp90ab1
292,,,,Rpl13a,Hsp90b1
293,,,,Rpl14,Hspa5
294,,,,Rpl15,Hspa8
295,,,,Rpl17,Hspd1
296,,,,Rpl18,Hspe1
297,,,,Rpl18a,Id3
298,,,,Rpl19,Idh3b
299,,,,Rpl21,Idh3g
300,,,,Rpl22,Ier2
301,,,,Rpl22l1,Ier5
302,,,,Rpl23,Ifi27l1
303,,,,Rpl23a,Ifitm2
304,,,,Rpl24,Ifitm3
305,,,,Rpl27,Ifngr1
