,raw,normalized_per_cell,filter_dispersion,log1p,scale_to_10
167,,Son,,,
168,,Gtf2h5,,,
169,,Tcp1,,,
170,,Psmb1,,,
171,,Hcfc1r1,,,
172,,Srrm2,,,
173,,Tceb2,,,
174,,Ndufb10,,,
175,,Ube2i,,,
176,,Stub1,,,
177,,Atp6v0e,,,
178,,Cuta,,,
179,,2900010M23Rik,,,
180,,Rps10,,,
181,,Snrpc,,,
182,,Srsf3,,,
183,,U2af1,,,
184,,Hnrnpm,,,
185,,Rab11b,,,
186,,Ndufa7,,,
187,,H2-Ke2,,,
188,,Clic1,,,
189,,Csnk2b,,,
190,,Mrpl14,,,
191,,Tomm6,,,
192,,2410015M20Rik,,,
193,,Ndufa11,,,
194,,Vapa,,,
195,,Ndufv2,,,
196,,Myl12b,,,
197,,Myl12a,,,
198,,Cox7a2l,,,
199,,Cript,,,
200,,Kif5b,,,
201,,Reep5,,,
202,,Paip2,,,
203,,Ube2d2,,,
204,,Ndufa2,,,
205,,Csnk1a1,,,
206,,Txnl1,,,
207,,BC031181,,,
208,,Ier3ip1,,,
209,,Txnl4a,,,
210,,Tmem134,,,
211,,Ppp1ca,,,
212,,Sf3b2,,,
213,,Banf1,,,
214,,Cfl1,,,
215,,Trmt112,,,
216,,Rtn3,,,
217,,Ubxn1,,,
218,,Eef1g,,,
219,,1810006K21Rik,,,
220,,Tm9sf3,,,
221,,Pgam1,,,
222,,Eif3a,,,
223,,Atp5c1,,,
224,,Edf1,,,
225,,Rpl7a,,,
226,,Set,,,
227,,Swi5,,,
228,,Rab14,,,
229,,Ndufa8,,,
230,,Psmb7,,,
231,,Ssb,,,
232,,Hnrnpa3,,,
233,,Psmc3,,,
234,,Eif3m,,,
235,,Nop10,,,
236,,Srp14,,,
237,,Pdia3,,,
238,,Serf2,,,
239,,2310003F16Rik,,,
240,,Snrpb,,,
241,,Mapre1,,,
242,,Chmp4b,,,
243,,Raly,,,
244,,Eif2s2,,,
245,,Dynlrb1,,,
246,,Ergic3,,,
247,,Romo1,,,
248,,Rbm39,,,
249,,Scand1,,,
250,,1110008F13Rik,,,
251,,Srsf6,,,
252,,Ywhab,,,
253,,Ube2v1,,,
254,,Atp5e,,,
255,,Psma7,,,
256,,Rpl22l1,,,
257,,Ndufb5,,,
258,,2810407C02Rik,,,
259,,Pdcd10,,,
260,,Hdgf,,,
261,,Mrpl24,,,
262,,Lamtor2,,,
263,,Dpm3,,,
264,,Tpm3,,,
265,,Psmb4,,,
266,,Psmd4,,,
267,,Mrps21,,,
268,,Rbm8a,,,
269,,Csde1,,,
270,,Bcas2,,,
271,,Atp5f1,,,
272,,Hbxip,,,
273,,Psma5,,,
274,,1810037I17Rik,,,
275,,Ube2d3,,,
276,,Sep15,,,
277,,Sh3glb1,,,
278,,Gng5,,,
279,,Rab2a,,,
280,,Bag1,,,
281,,Dctn3,,,
282,,Vcp,,,
283,,Clta,,,
284,,Tomm5,,,
285,,Sec61b,,,
286,,Atp6v1g1,,,
287,,Tmem59,,,
288,,Cmpk1,,,
289,,Uqcrh,,,
290,,Atp6v0b,,,
291,,Ybx1,,,
292,,Psmb2,,,
293,,Eif3i,,,
294,,Ptp4a2,,,
295,,Dnajc8,,,
296,,Nudc,,,
297,,Tmem50a,,,
298,,Syf2,,,
299,,Rpl11,,,
300,,Cdc42,,,
301,,Minos1,,,
302,,Capzb,,,
303,,Park7,,,
304,,Rpl22,,,
305,,Tprgl,,,
306,,Rer1,,,
307,,Ssu72,,,
308,,Mrpl20,,,
309,,Aurkaip1,,,
310,,Sri,,,
311,,Tomm7,,,
312,,Dnajb6,,,
313,,Ost4,,,
314,,Ctbp1,,,
315,,Grpel1,,,
316,,Mrfap1,,,
317,,Wdr1,,,
318,,Med28,,,
319,,Rpl9,,,
320,,Ube2k,,,
321,,Ociad1,,,
322,,Hnrpdl,,,
323,,Rpl5,,,
324,,Pebp1,,,
325,,Rpl6,,,
326,,Arpc3,,,
327,,Tmed2,,,
328,,Chchd2,,,
329,,Eif4h,,,
330,,Mdh2,,,
331,,Polr2j,,,
332,,Fis1,,,
333,,Gnb2,,,
334,,Cops6,,,
335,,Rac1,,,
336,,Bri3,,,
337,,Arpc1a,,,
338,,Pdap1,,,
339,,Bud31,,,
340,,Rpl21,,,
341,,Polr1d,,,
342,,Pomp,,,
343,,Shfm1,,,
344,,Capza2,,,
345,,Atp6v1f,,,
346,,Mrps33,,,
347,,Hnrnpa2b1,,,
348,,Tax1bp1,,,
349,,Serbp1,,,
350,,Vamp8,,,
351,,Cct7,,,
352,,Snrpg,,,
353,,Pcbp1,,,
354,,Cnbp,,,
355,,Arpc4,,,
356,,6720456B07Rik,,,
357,,Hnrnpf,,,
358,,Emg1,,,
359,,Phb2,,,
360,,Grcc10,,,
361,,Mlf2,,,
362,,Strap,,,
363,,Rps9,,,
364,,Rpl28,,,
365,,Chmp2a,,,
366,,Sepw1,,,
367,,Gltscr2,,,
368,,Napa,,,
369,,Ap2s1,,,
370,,Calm3,,,
371,,Snrpd2,,,
372,,Rabac1,,,
373,,Eif3k,,,
374,,Psmd8,,,
375,,Capns1,,,
376,,Tbcb,,,
377,,Psenen,,,
378,,Pdcd5,,,
379,,2310044H10Rik,,,
380,,Rpl18,,,
381,,Kdelr1,,,
382,,Ldha,,,
383,,Sec11a,,,
384,,Rps17,,,
385,,Fam103a1,,,
386,,Ndufc2,,,
387,,2400001E08Rik,,,
388,,Fxc1,,,
389,,Taf10,,,
390,,Eif3f,,,
391,,Eif4g2,,,
392,,Psma1,,,
393,,1110004F10Rik,,,
394,,Eif3c,,,
395,,Ppp4c,,,
396,,Glrx3,,,
397,,Psmd13,,,
398,,Mrpl23,,,
399,,Vdac3,,,
400,,Ndufa13,,,
401,,Cope,,,
402,,Fkbp8,,,
403,,Lsm4,,,
404,,Use1,,,
405,,Pgls,,,
406,,Lsm6,,,
407,,Ndufb7,,,
408,,Tecr,,,
409,,D8Ertd738e,,,
410,,2310036O22Rik,,,
411,,BC056474,,,
412,,Dnaja2,,,
413,,Atp6v0d1,,,
414,,Psmd7,,,
415,,Gabarapl2,,,
416,,Hsbp1,,,
417,,Map1lc3b,,,
418,,Tcf25,,,
419,,Tomm20,,,
420,,Dcun1d5,,,
421,,Cwc15,,,
422,,Ubl5,,,
423,,Eif3g,,,
424,,Cdc37,,,
425,,Rp9,,,
426,,Rps25,,,
427,,Atp5l,,,
428,,Psma4,,,
429,,Ppib,,,
430,,Rps27l,,,
431,,Gtf2a2,,,
432,,Arpp19,,,
433,,Morf4l1,,,
434,,Rnf7,,,
435,,Anapc13,,,
436,,Rpl29,,,
437,,Gnai2,,,
438,,Rhoa,,,
439,,Ccdc72,,,
440,,Ccdc12,,,
441,,Rbm3,,,
442,,Ndufb11,,,
443,,Hprt,,,
444,,Bcap31,,,
445,,Rpl10,,,
446,,Fundc2,,,
447,,Nono,,,
448,,Pgk1,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,,,,,
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,,,,,
567,,,,,
568,,,,,
